,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Saint-Henri,ChZDSUhNMG9nS0VJQ0FnSUNvMjREY0dREAE,Alexander O'Brien,https://www.google.com/maps/contrib/109800889612143686237/reviews?hl=en-CA,a year ago,2021-06-24 15:11:01.436006,5.0,240,"Is not a large parc, it has a water fountain in good weather, definitely in summer, and looking over the fountain is a statue of Jacques Cartier. This parc borders St-Antoine on north, on east is rue Laporte, on west is rue Agnes, one street west of Imperial Tobacco on rue St-Antoine, and rue Irene is Parc St-Henri. Some spaced out parc benches, further south is rue St-Jacques, runs west from the glen to rue Atwater oneway going east, to Atwater Market, and this Parc is approx. 7-9 streets West of rue Atwater and rue St-Antoine. There has been much renovations, and Condo development is going forward well into the future. This Parc hss been there for well over 100 years plus possibly. Go site explore snd walk around St-Henri Parc, famous people have grown up here. Famous names to name a fewI I know of, like Oscar Peterson and family, Rufus Rockhead, coach Pat Burns and family, and many more Celebs. St. Thomas Aquinas Catholic Church is still there on rue Couvent and St-Antoine, the English. Catholic boys and girls shool has since been replaced with a French school now. Go take a tour, please. St. Thomas Aquinas Catholic Church now is a Salle de Réception, renovations complete, opens today thurs, june 12-19, beautiful décor all white with beautiful chandeliers hanging from the high old church ceiling. Valet parking, what a change and note of memories growing up here."
1,Parc Saint-Henri,ChZDSUhNMG9nS0VJQ0FnSURLdjhxeVZBEAE,Andrew Gast,https://www.google.com/maps/contrib/116455727162152653976/reviews?hl=en-CA,a month ago,2021-06-24 15:11:01.437647,4.0,9,"Pretty nice one, if a little small and lacking in grassy seating. Some dudes next to us had a tiny barbecue going and made the whole park smoky and smell like charcoal and meat - was pretty cool"
2,Parc Saint-Henri,ChZDSUhNMG9nS0VJQ0FnSUNxbWNIUE9REAE,Mauro Peña,https://www.google.com/maps/contrib/105614546613626861622/reviews?hl=en-CA,a week ago,2021-06-24 15:11:01.442892,5.0,27,The gentrified Shenreez (St Henri) most popular park
3,Parc Saint-Henri,ChZDSUhNMG9nS0VJQ0FnSUNxNGRldGV3EAE,Arshdeep Brar,https://www.google.com/maps/contrib/104985429993574401945/reviews?hl=en-CA,2 weeks ago,2021-06-24 15:11:01.444262,5.0,4,Nice place to visit
4,Parc Saint-Henri,ChZDSUhNMG9nS0VJQ0FnSUM4azhLeVJ3EAE,Aurélien Girard,https://www.google.com/maps/contrib/113575942579169665203/reviews?hl=en-CA,11 months ago,2021-06-24 15:11:01.446000,5.0,26,"Nice parc to chill in in Saint Henri. With its few picnic table, it's also a nice place for a little gathering with friends."
5,Parc Saint-Henri,ChZDSUhNMG9nS0VJQ0FnSUM4c09xTklBEAE,Anjali Pradhan,https://www.google.com/maps/contrib/102236597788534523865/reviews?hl=en-CA,a year ago,2021-06-24 15:11:01.447566,4.0,52,The park is improving in atmosphere. Less trashy than before. But the statue must go ✊🏾✊🏾
6,Parc Saint-Henri,ChZDSUhNMG9nS0VJQ0FnSUQwcnV1NlpnEAE,Jihane Guettar,https://www.google.com/maps/contrib/115430840900891830781/reviews?hl=en-CA,a year ago,2021-06-24 15:11:01.451078,5.0,18,I live right in front of this gorgeous little park. Summers nights with the fountain running are delightful
7,Parc Saint-Henri,ChZDSUhNMG9nS0VJQ0FnSURVM1plZE1BEAE,tenedria,https://www.google.com/maps/contrib/108967330590431013422/reviews?hl=en-CA,a year ago,2021-06-24 15:11:01.453082,4.0,42,Large park with a beautiful fountain. The benches are comfortable. There is no facilities in this park but it's a quiet place to relax.
8,Parc Saint-Henri,ChdDSUhNMG9nS0VJQ0FnSUMwaElhWnRRRRAB,flavius mateus,https://www.google.com/maps/contrib/115558457908445885857/reviews?hl=en-CA,a year ago,2021-06-24 15:11:01.454455,5.0,101,Quiet and peaceful.  Beautiful place to chill..and wiifii available too.
9,Parc Saint-Henri,ChZDSUhNMG9nS0VJQ0FnSUNVOXJHamNREAE,William Johnny Houle,https://www.google.com/maps/contrib/107139537428347469305/reviews?hl=en-CA,a year ago,2021-06-24 15:11:01.456485,4.0,46,Nice park with a beautiful fountain and mature trees.  Ideal to take an afternoon break or a dog walk.
10,Parc Saint-Henri,ChdDSUhNMG9nS0VJQ0FnSURDdk5UNWpBRRAB,Charles R,https://www.google.com/maps/contrib/105303743617953592226/reviews?hl=en-CA,9 months ago,2021-06-24 15:11:01.458188,4.0,32,"Chill parc under tree canopy, with fountain"
