,name,link,google_maps,description
0,Aire de repos 8e Avenue,https://montreal.ca/lieux/aire-de-repos-8e-avenue,"https://www.google.com/maps/search/?api=1&query=Boulevard%20Saint-Joseph%20Lachine%20H8S%202M2%20Qu%C3%A9bec,%20Canada",L’aire de repos de la 8e Avenue offre un point de vue sur le canal de Lachine.
1,Bassin de la Brunante,https://montreal.ca/lieux/bassin-de-la-brunante,"https://www.google.com/maps/search/?api=1&query=2476,%20rue%20des%20Harfangs%20Montr%C3%A9al%20H4R%202Y6%20Qu%C3%A9bec,%20Canada","Le bassin de la Brunante est un lieu privilégié pour se détendre, profiter des attraits de la nature ou pratiquer des loisirs en plein air."
2,Belvédère du Chemin-Qui-Marche,https://montreal.ca/lieux/belvedere-du-chemin-qui-marche,"https://www.google.com/maps/search/?api=1&query=1000%20Rue%20de%20la%20Commune%20Est%20Montr%C3%A9al%20H2L%200B9%20Qu%C3%A9bec,%20Canada",C’est un parc linéaire proche du fleuve Saint-Laurent. Son nom vient d’une expression amérindienne faisant référence au fleuve Saint-Laurent.
3,Boisé du parc Marcel-Laurin,https://montreal.ca/lieux/boise-du-parc-marcel-laurin,"https://www.google.com/maps/search/?api=1&query=Angle%20des%20boulevards%20Poirier%20et%20Cavendish%20Montr%C3%A9al%20null%20Qu%C3%A9bec,%20Canada",Consultez la carte des sentiers.
4,Boisé Saint-Conrad,https://montreal.ca/lieux/boise-saint-conrad,"https://www.google.com/maps/search/?api=1&query=Avenue%20Guy%20et%20avenue%20Chaumont%20Montr%C3%A9al%20null%20Qu%C3%A9bec,%20Canada",Venez profiter des attraits de la nature ou pratiquer des loisirs en plein air.
5,Carré d'Hibernia,https://montreal.ca/lieux/carre-dhibernia,"https://www.google.com/maps/search/?api=1&query=2333,%20rue%20Mullins%20Montr%C3%A9al%20H3K%201P1%20Qu%C3%A9bec,%20Canada",
6,Domaine Saint-Paul,https://montreal.ca/lieux/domaine-saint-paul,"https://www.google.com/maps/search/?api=1&query=boulevard%20de%20la%20For%C3%AAt%20Montr%C3%A9al%20H3E%201X9%20Qu%C3%A9bec,%20Canada","Le domaine Saint-Paul est un lieu privilégié pour se détendre, profiter des attraits de la nature ou pratiquer des loisirs en plein air."
7,Entrée de ville Bonaventure,https://montreal.ca/lieux/entree-de-ville-bonaventure,"https://www.google.com/maps/search/?api=1&query=Rue%20Nazareth%20Montr%C3%A9al%20null%20Qu%C3%A9bec,%20Canada",Il s’étend de la sortie de l’autoroute Bonaventure jusqu’à la rue Saint-Jacques.
8,Espace Faubourg Québec,https://montreal.ca/lieux/espace-faubourg-quebec,"https://www.google.com/maps/search/?api=1&query=12,%20rue%20de%20la%20Porte-de-Qu%C3%A9bec%20Montr%C3%A9al%20null%20Qu%C3%A9bec,%20Canada","Le parc Espace Faubourg Québec est un lieu privilégié pour se détendre, profiter des attraits de la nature ou pratiquer des loisirs en plein air."
9,Espace Parthenais-Larivière,https://montreal.ca/lieux/espace-parthenais-lariviere,"https://www.google.com/maps/search/?api=1&query=Rue%20Parthenais%20Montr%C3%A9al%20null%20Qu%C3%A9bec,%20Canada","L’aménagement temporaire créé par Sandra Tannous répond à l’environnement dans lequel il s’inscrit. On y perçoit des références à l’environnement immédiat et à une temporalité passée, soit à l’ancienne piste d’athlétisme de l’école puis au Stade Delorimier, domicile de l’équipe de baseball des Royaux jusqu’en 1960."
10,Espace Pierre-Bourgault,https://montreal.ca/lieux/espace-pierre-bourgault,"https://www.google.com/maps/search/?api=1&query=Rue%20Plessis%20Montr%C3%A9al%20H2L%202Y2%20Qu%C3%A9bec,%20Canada",Venez en profiter!
11,Esplanade Tranquille,https://montreal.ca/lieux/esplanade-tranquille,"https://www.google.com/maps/search/?api=1&query=Rue%20Clark%20Montr%C3%A9al%20null%20Qu%C3%A9bec,%20Canada",C’est une place publique.
12,Golf municipal de Montréal,https://montreal.ca/lieux/golf-municipal-de-montreal,"https://www.google.com/maps/search/?api=1&query=4235,%20rue%20Viau%20Montr%C3%A9al%20H1T%203V2%20Qu%C3%A9bec,%20Canada","L’arrondissement de Rosemont–La Petite-Patrie compte un golf de neuf trous (normale 3) et un centre d’exercice de 29 enclos. Situé à l’est du parc Maisonneuve, le golf offre également des cours privés ou en groupe, et la location d’équipement."
13,Île de Roxboro,https://montreal.ca/lieux/ile-de-roxboro,,"L’île de Roxboro est un lieu privilégié pour se détendre, profiter des attraits de la nature ou pratiquer des loisirs en plein air."
14,Jardin Marcelle-Gauvreau,https://montreal.ca/lieux/jardin-marcelle-gauvreau,"https://www.google.com/maps/search/?api=1&query=Angle%20de%20l%27avenue%20Laurier%20Est%20et%20du%20boulevard%20Pie-IX%20Montr%C3%A9al%20null%20Qu%C3%A9bec,%20Canada","Un bassin de galets de rivière, plusieurs abris à papillons, une palissade en bois de frêne et de nombreuses plantations spécifiquement choisies accueillent ces merveilleux migrateurs ainsi que d’autres insectes pollinisateurs."
15,Le Bouquiniste,https://montreal.ca/lieux/le-bouquiniste,"https://www.google.com/maps/search/?api=1&query=Angle%20du%20boulevard%20Henri-Bourassa%20Est%20et%20de%20l%27avenue%20Oscar%20Montr%C3%A9al%20null%20Qu%C3%A9bec,%20Canada","Après un an de pause en raison de la pandémie, cette place hébergera durant l’été une structure inspirée d’un grand livre ouvert appelé Le Bouquiniste. L’aménagement inclut une microbibliothèque et un croque-livre adulte et jeunesse, selon le principe « prenez un livre, donnez-en un ». Des activités variées s’y tiendront avec la collaboration des organismes du milieu."
16,Le Champ-de-Mars,https://montreal.ca/lieux/le-champ-de-mars,"https://www.google.com/maps/search/?api=1&query=Rue%20Saint-Antoine%20Eest%20Montr%C3%A9al%20H2Y%201B5%20Qu%C3%A9bec,%20Canada",C’est un lieu privilégié pour se détendre.
17,Le Parterre,https://montreal.ca/lieux/le-parterre,"https://www.google.com/maps/search/?api=1&query=Rue%20Clark%20Montr%C3%A9al%20null%20Qu%C3%A9bec,%20Canada",C’est un lieu privilégié pour se détendre.
18,Mini-parc de la 7e Avenue,https://montreal.ca/lieux/mini-parc-de-la-7e-avenue,"https://www.google.com/maps/search/?api=1&query=7e%20Avenue%20Lachine%20H8S%202Y9%20Qu%C3%A9bec,%20Canada",Ce parc est un endroit privilégié pour se détendre.
19,Mini-parc de la 8e Avenue,https://montreal.ca/lieux/mini-parc-de-la-8e-avenue,"https://www.google.com/maps/search/?api=1&query=8e%20Avenue%20Lachine%20H8S%202Z1%20Qu%C3%A9bec,%20Canada",Ce parc est un endroit privilégié pour se détendre.
20,Mini-parc Durocher,https://montreal.ca/lieux/mini-parc-durocher,"https://www.google.com/maps/search/?api=1&query=Avenue%20Durocher%20Montr%C3%A9al%20H2V%203Y7%20Qu%C3%A9bec,%20Canada",Venez profiter des attraits de la nature ou pratiquer des loisirs en plein air.
21,Mini-parc Querbes,https://montreal.ca/lieux/mini-parc-querbes,"https://www.google.com/maps/search/?api=1&query=Avenue%20Querbes%20Montr%C3%A9al%20H2V%203W9%20Qu%C3%A9bec,%20Canada",Venez profiter des attraits de la nature ou pratiquer des loisirs en plein air.
22,Miniparc Antonino-Spada,https://montreal.ca/lieux/miniparc-antonino-spada,"https://www.google.com/maps/search/?api=1&query=Rue%20Antonino-Spada%20Montr%C3%A9al%20H1R%200B5%20Qu%C3%A9bec,%20Canada",Le miniparc Antonino-Spada est un lieu privilégié pour se détendre.
23,Miniparc Chopin,https://montreal.ca/lieux/miniparc-chopin,"https://www.google.com/maps/search/?api=1&query=Rue%20Chopin%20Montr%C3%A9al%20null%20Qu%C3%A9bec,%20Canada",Le miniparc Chopin est un lieu privilégié pour se détendre.
24,Miniparc de Ségur,https://montreal.ca/lieux/miniparc-de-segur,"https://www.google.com/maps/search/?api=1&query=Rue%20de%20S%C3%A9gur%20Montr%C3%A9al%20H1R%202M5%20Qu%C3%A9bec,%20Canada",Le Miniparc de Ségur est un lieu privilégié pour se détendre.
25,Miniparc Deschambault,https://montreal.ca/lieux/miniparc-deschambault,"https://www.google.com/maps/search/?api=1&query=Rue%20Deschambault%20Montr%C3%A9al%20H1R%202C5%20Qu%C3%A9bec,%20Canada",Le miniparc Deschambault est un petit parc de quartier dans lequel se trouve un module de jeux pour enfants.
